"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"44",44,"Enero","miércoles, 10 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 43b  CL 16  CL 14","Poblado ","Comuna14ElPoblado",33,5,28,"0",0,5,0,0,0,1,4,0,"0",7,17,2,0,4,24,0,0,0,0,1,5,14
"45",45,"Enero","jueves, 11 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cl 39 CR 73 76 ","Laureles","Comuna11LaurelesEstadio",89,43,46,"0",21,18,4,10,0,18,15,0,"2",16,27,3,0,0,23,23,0,0,0,1,5,11
"46",46,"Enero","viernes, 12 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44  CR 57   ","Candelaria","Comuna10LaCandelaria",246,127,119,"0",56,54,14,126,0,1,0,0,"0",41,49,28,110,4,5,0,0,0,0,1,5,10
"47",47,"Enero","sábado, 13 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 70 CL 30  2 ","Guayabal ","Comuna15Guayabal",115,50,65,"3",20,21,9,35,5,2,5,3,"1",24,30,9,40,5,6,14,0,0,0,1,5,15
"48",48,"Enero","lunes, 15 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 73 CQ 1 a la 5","Laureles","Comuna11LaurelesEstadio",198,64,134,"0",34,27,3,33,0,10,20,1,"2",43,86,5,38,5,38,51,2,0,0,1,5,11
"49",49,"Enero","martes, 16 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cl 39D CR 73 CR76","Laureles","Comuna11LaurelesEstadio",46,14,32,"0",2,9,3,14,0,0,0,0,"0",10,20,2,16,1,6,8,1,0,0,1,5,11
"50",50,"Enero","miércoles, 17 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","AV 74B CRA 76 CRA 73","Laureles","Comuna11LaurelesEstadio",25,7,18,"0",3,4,0,7,0,0,0,0,"0",5,13,0,8,2,2,5,1,0,0,1,5,11
"51",51,"Enero","jueves, 18 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CR 64C CL 67","Caribe","Comuna5Castilla",231,86,145,"0",53,30,3,55,31,0,0,0,"0",80,59,4,76,60,1,8,0,0,0,1,5,5
"52",52,"Enero","viernes, 19 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cl 39D CR 73 CR76","Laureles","Comuna11LaurelesEstadio",83,46,37,"0",12,32,2,41,0,0,2,3,"2",13,21,3,19,0,1,17,0,0,0,1,5,11
"53",53,"Enero","sábado, 20 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cl 39D CR 73 CR76","Laureles","Comuna11LaurelesEstadio",65,19,46,"0",2,14,1,9,0,0,8,2,"0",13,31,2,18,0,2,26,0,0,0,1,5,11
"54",54,"Enero","lunes, 15 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 45 con CR 54","Candelaria","Comuna10LaCandelaria",90,15,75,"2",7,6,2,2,0,4,8,1,"0",16,46,13,4,0,13,51,7,0,0,1,5,10
"55",55,"Enero","martes, 16 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 50 CL 30 a CL 44","Candelaria","Comuna10LaCandelaria",91,23,68,"0",7,16,0,10,0,0,5,8,"0",25,43,0,28,6,9,12,13,0,0,1,3,10
"56",56,"Enero","miércoles, 17 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 44 con CR 57","Candelaria","Comuna10LaCandelaria",130,31,99,"0",9,21,1,31,0,0,0,0,"0",29,56,11,76,2,0,17,4,0,0,1,4,10
"57",57,"Enero","jueves, 18 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 45 CR 54 Y 51","Candelaria","Comuna10LaCandelaria",120,28,92,"0",7,20,0,3,0,7,6,12,"3",22,58,12,8,0,29,37,18,0,0,1,4,10
"58",58,"Enero","viernes, 19 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 50 CL 30 a CL 44","Candelaria","Comuna10LaCandelaria",72,28,44,"1",2,16,10,18,1,1,8,0,"0",3,41,0,14,2,6,15,7,0,0,1,4,10
"59",59,"Enero","sábado, 20 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CL 44 con CR 57","Candelaria","Comuna10LaCandelaria",114,30,84,"0",2,19,9,25,1,1,3,0,"0",6,74,4,64,2,7,11,0,0,0,1,4,10
"60",60,"Enero","lunes, 15 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cll 9 A - Cll 10 A entre Cra 43 E y Cra 34","Poblado ","Comuna14ElPoblado",55,16,39,"0",8,8,0,2,0,1,13,0,"0",13,26,0,3,0,6,30,0,0,0,1,5,14
"61",61,"Enero","martes, 16 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cra 43 B entre Cll 16 y Cll 14","Poblado ","Comuna14ElPoblado",94,45,49,"0",18,27,0,10,0,8,27,0,"0",15,34,0,7,0,6,36,0,0,0,1,5,14
"62",62,"Enero","miércoles, 17 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cra 43 D entre Cll 14 y Cll 10","Poblado ","Comuna14ElPoblado",74,30,44,"0",15,15,0,11,0,1,18,0,"0",16,24,4,4,0,8,32,0,0,0,1,5,14
"63",63,"Enero","jueves, 18 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cll 9 A - Cll 10 A entre Cra 43 E y Cra 34","Poblado ","Comuna14ElPoblado",73,26,47,"0",14,12,0,7,0,1,18,0,"0",23,24,0,4,0,8,32,3,0,0,1,4,14
